rank,workflow_id,title,process_area,file,monthly_hours_low,monthly_hours_high,fte_high,effort_steps,automated_steps,cadence_only_steps,qualitative_steps,elapsed_days_low,elapsed_days_high,per_unit_rates,live_or_dormant,dormant_capabilities
1,W1042,Employee Store-Level Rotational Cross-Training & Multi-Skill Certification Program,VS-19-hire-to-retire,01-model-company/workflows/VS-19-hire-to-retire/PA-19.4-learning-and-development.md,279.45,418.68,2.412,2,0,0,0,0.0,0.0,2,live,
2,W1454,"Augmented Reality (AR) Home Visualization Tool Operations, 3D Product Catalog & Customer Project Planning",VS-30-innovation-digital,01-model-company/workflows/VS-30-innovation-digital/PA-30.2-ai-ml-and-automation.md,103.00,403.00,2.321,3,0,0,0,0.0,0.0,2,dormant,CAP-D01
3,W1331,"Employee Volunteer Program Management, Tracking & Impact Measurement",VS-25-esg-sustainability,01-model-company/workflows/VS-25-esg-sustainability/PA-25.2-social-impact-and-governance.md,92.13,181.60,1.046,2,0,1,0,6.0,10.0,1,live,
4,W555,Seasonal & Temporary Staffing Process,VS-19-hire-to-retire,01-model-company/workflows/VS-19-hire-to-retire/PA-19.1-recruitment-and-onboarding.md,173.60,173.60,1.000,1,0,0,0,6.5,9.5,7,live,
5,W1425,"Multi-Tender POS Transaction Daily Reconciliation, Settlement Matching & Variance Resolution",VS-08-pos-checkout,01-model-company/workflows/VS-08-pos-checkout/PA-08.2-payment-and-cash-management.md,81.38,148.28,0.854,5,0,0,0,0.0,0.0,0,live,
6,W648,DC Cycle Counting & Inventory Accuracy Program,VS-04-dc-warehouse,01-model-company/workflows/VS-04-dc-warehouse/PA-04.1-dc-inbound-operations.md,101.98,145.38,0.837,3,2,0,1,0.0,0.0,2,live,
7,W563,E-Commerce SEO & Digital Merchandising Management,VS-10-ecommerce-digital,01-model-company/workflows/VS-10-ecommerce-digital/PA-10.1-ecommerce-platform-operations.md,132.57,132.57,0.764,6,0,0,0,0.0,0.0,0,live,
8,W1423,DC-to-DC Inter-DC Inventory Rebalancing Transfer Execution & In-Transit Monitoring,VS-05-inventory-lifecycle,01-model-company/workflows/VS-05-inventory-lifecycle/PA-05.2-stock-transfers-and-rebalancing.md,69.10,114.50,0.660,3,0,0,0,0.0,0.0,2,live,
9,W2A,Auto-Replenishment (Stocking Items),VS-03-vendor-management,01-model-company/workflows/VS-03-vendor-management/PA-03.2-purchase-order-cycle.md,65.10,108.50,0.625,3,3,0,0,0.0,0.0,2,live,
10,W593,Vendor Portal Content Management & Self-Service Operations,VS-03-vendor-management,01-model-company/workflows/VS-03-vendor-management/PA-03.4-vendor-portal-and-collaboration.md,59.92,105.98,0.611,6,0,0,0,0.0,0.0,2,live,
11,W634,Revenue Assurance & POS Revenue Reconciliation,VS-15-procure-to-pay,01-model-company/workflows/VS-15-procure-to-pay/PA-15.2-vendor-payment-and-reconciliation.md,104.12,104.12,0.600,4,1,0,1,0.0,0.0,1,live,
12,W731,Consumer Act (RA 7394) Compliance Monitoring & Enforcement,VS-22-compliance-regulatory,01-model-company/workflows/VS-22-compliance-regulatory/PA-22.2-government-audit-and-inspection-response.md,89.33,94.00,0.541,4,0,0,0,0.0,0.0,2,live,
13,W905,Customer Project Photo Gallery & Social Proof/Inspiration Platform,VS-10-ecommerce-digital,01-model-company/workflows/VS-10-ecommerce-digital/PA-10.1-ecommerce-platform-operations.md,47.30,92.60,0.533,2,1,0,1,0.0,0.0,1,live,
14,W4,Store Replenishment (DC → Store),VS-05-inventory-lifecycle,01-model-company/workflows/VS-05-inventory-lifecycle/PA-05.1-inventory-accuracy-and-counting.md,65.10,86.80,0.500,2,2,0,0,0.0,0.0,2,live,
15,W2812,"DC/Regional Vault Operations, Counting & Reconciliation",VS-81-cash-in-transit-vault-armored,01-model-company/workflows/VS-81-cash-in-transit-vault-armored/PA-81.2-armored-car-vault-cash-execution.md,43.40,86.80,0.500,1,0,2,0,0.0,0.0,0,live,
16,W724,Marketplace Channel Daily Operations & Order Management (Lazada/Shopee),VS-10-ecommerce-digital,01-model-company/workflows/VS-10-ecommerce-digital/PA-10.3-marketplace-and-social-commerce.md,48.82,83.18,0.479,4,0,1,1,0.0,0.0,0,dormant,CAP-C03;CAP-C04
